id,project_code,name,project_type,clients,initial_sample_size,sample,cpi,other_cost,operation_select,finance_select,upload_document,tentative_start_date,tentative_end_date,estimated_time,man_days,total_achievement,remaining_interview,status,remark,created_by,assigned_to,created_at,is_active
3915,112pro140,Rightship Survey,CATI,proSapient,30,30,52,,1,0,,28-04-25 5:30,29-05-25 5:30,"31 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,29-04-25 21:32,1
3914,112pro139,Debt Placement,CATI,proSapient,20,20,52,,1,0,,21-04-25 5:30,02-05-25 5:30,"11 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Navneet Tiwari,29-04-25 21:31,1
3913,119adi123,Career Transition thought leadership,CATI,Adience,100,100,46,,1,0,,21-04-25 5:30,29-05-25 5:30,"38 days, 0:00:00",,,,Project Initiated,,Christopher Schaedel,Veronika Sharma,29-04-25 21:29,1
3912,003pot301,Unimrkt x Potloc – Project #3288,CATI,potloc,10,10,36,,1,0,,28-04-25 5:30,09-05-25 5:30,"11 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Jagdeep Yadav,29-04-25 2:43,1
3911,001glg965,Performance and growth drivers MAR (#),CATI,GLG,5,5,51,,1,0,,28-04-25 5:30,06-05-25 5:30,"8 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,29-04-25 2:42,1
3910,001glg964,UM_GLG | Pediatric Neuroblastoma,CATI,GLG,20,20,75,,1,0,,25-04-25 5:30,06-05-25 5:30,"11 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Dipika Maheshwari,29-04-25 2:38,1
3909,001glg963,Unimrkt - EdTech,CATI,GLG,5,5,49,,1,0,,25-04-25 5:30,02-05-25 5:30,"7 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,29-04-25 2:38,1
3908,001glg962,2025 Infusion Treatment Study 610297,CATI,GLG,10,140,74,,1,0,,25-04-25 5:30,08-05-25 5:30,"13 days, 0:00:00",5,19,121,In Progress,,Saransh Sharma,Dipika Maheshwari,29-04-25 2:36,1
3907,003pot300,Education in spain - B2C,CATI,potloc,30,30,34,,1,0,,25-04-25 5:30,02-05-25 5:30,"7 days, 0:00:00",5.5,26,4,In Progress,,Saransh Sharma,Jagdeep Yadav,29-04-25 2:35,1
3906,001glg961,China Hotel Sentiment,CATI,GLG,20,20,49,,1,0,,24-04-25 5:30,02-05-25 5:30,"8 days, 0:00:00",,,,Project Initiated,,Saransh Sharma,Navneet Tiwari,29-04-25 2:23,1
3905,004rot059,New healthcare survey targeting physicians/special,CATI,Roth MKM,150,150,70,,1,0,,24-04-25 5:30,16-05-25 5:30,"22 days, 0:00:00",1,2,148,In Progress,,Saransh Sharma,Dipika Maheshwari,29-04-25 2:16,1
3904,004rot058,New B2B project opportunity/need estimate - Decisi,CATI,Roth MKM,2,2,44,,1,0,,24-04-25 5:30,02-05-25 5:30,"8 days, 0:00:00",,,,To Be Started,,Saransh Sharma,Reeti Sharma,29-04-25 2:13,1
