id,name,target_group_cleaned,target_group_bucket,loi_minutes,location_cleaned,tg_freq,loc_freq,tg_loc_freq,tg_avg_loi,loc_avg_loi,tg_diversity,loi_deviation_tg,loi_deviation_loc
1,B2B_Coffee_Manufacturer__Retail,Coffee Manufacturers Retailers,it,45.0,,1.0,0.0,0,45.0,0.0,0.0,0.0,45.0
2,SoW_for_Atheneum_Access_Landscape_Research_Study_May_125,Medical Directors,healthcare,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
3,SoW_for_Atheneum_Acquired_Fibrinogen_Study_Mar_21_25,Healthcare Practitioners,healthcare,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
4,SoW_for_Atheneum_Alarm_System_Landscape_Survey_Apr_7_25,Decisionmakers At Alarm Systems Integrators And Distributors,b2b,15.0,United States,1.0,170.0,1,15.0,29.589285714285715,1.0,0.0,-14.589285714285715
5,SoW_for_Atheneum_CASGEVY_Message_Testing_Study_May_825,Haematologiststransplanters,other,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
6,SoW_for_Atheneum_Chemical_DMs_Study_May_6_25,Decision Maker Buyers Or Users,consumer,20.0,United States,1.0,170.0,1,20.0,29.589285714285715,1.0,0.0,-9.589285714285715
7,SoW_for_Atheneum_GLP-1_Agonists_-_HK_Survey_Mar_6_25,Licensed Doctors Or Doctors,healthcare,50.0,Hong Kong,1.0,1.0,1,50.0,50.0,1.0,0.0,0.0
8,SoW_for_Atheneum_Haematologists_Treating_Myelofibrosis_Study_Apr_29_25,Haematologists Treating Myelofibrosis,other,30.0,Canada,1.0,3.0,1,30.0,30.0,1.0,0.0,0.0
9,SoW_for_Atheneum_HCPs_Study_Apr_1425,Healthcare Professionals,healthcare,60.0,Germany,3.0,3.0,1,35.0,45.0,2.0,25.0,15.0
10,SoW_for_Atheneum_Healthcare_Professionals_Survey_May_19_25,Healthcare Professionals,healthcare,30.0,United States,3.0,170.0,2,35.0,29.589285714285715,2.0,-5.0,0.4107142857142847
11,SoW_for_Atheneum_Health_System_Decision_Makers_Study_Mar_19_2025,Health System Decision Makers,other,15.0,United States,3.0,170.0,3,30.0,29.589285714285715,1.0,-15.0,-14.589285714285715
12,SoW_for_Atheneum_Health_System_Decision_Makers_Study_Nov_25_24,Health System Decision Makers,other,30.0,United States,3.0,170.0,3,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
13,SoW_for_Atheneum_HER2m_NSCLC_Study_May_825,Medhem Oncologistspulmonologists,healthcare,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
14,SoW_for_Atheneum_Hospitals_and_Health_Systems_Survey_May_29_25,Hospitals And Health Systems,healthcare,20.0,United States,1.0,170.0,1,20.0,29.589285714285715,1.0,0.0,-9.589285714285715
15,SoW_for_Atheneum_Infectious_Disease_Specialists_Study_Feb_12_25,Infectious Disease Specialists,other,45.0,United States,1.0,170.0,1,45.0,29.589285714285715,1.0,0.0,15.410714285714285
16,SoW_for_Atheneum_Medical_Physics_Study_May_8_25,Decision Makers,other,,United States,4.0,170.0,3,25.0,29.589285714285715,1.0,,
17,SoW_for_Atheneum_Microbial_Cell_Line_Solutions_Study_May_19_25,Healthcare Professionals,healthcare,15.0,United States,3.0,170.0,2,35.0,29.589285714285715,2.0,-20.0,-14.589285714285715
18,SoW_for_Atheneum_Neurologists_Study_Feb_20_25,Neurologistsneuromuscular Specialistsneuroimmunologistsmovement Disorder Specialist Neurologists,other,40.0,United States,1.0,170.0,1,40.0,29.589285714285715,1.0,0.0,10.410714285714285
19,SoW_for_Atheneum_NSCLC_Nurse_Navigators_and_Practice_Managers_Study_May_1325,Nurse Navigatorspractice Managersnurses,healthcare,40.0,United States,1.0,170.0,1,40.0,29.589285714285715,1.0,0.0,10.410714285714285
20,SoW_for_Atheneum_Oncologists_KOLs_Study_Feb_24_25,Medicalheme Oncologists Kols Who Treat Chronic Lymphocytic Leukemia Cll Patients,healthcare,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
21,SoW_for_Atheneum_Pediatric_Insights_Study_May_19_25,Paediatriciandermatologists Paediatric,other,20.0,"United Kingdom, Italy, France, Germany, Spain",1.0,1.0,1,20.0,20.0,1.0,0.0,0.0
22,SoW_for_Atheneum_Pharmacy_Directors_MACR_2025_Study_Apr_725,Pharmacy Directors,b2b,30.0,United States,1.0,170.0,1,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
23,SoW_for_Atheneum_Physicians_Board-certified_Ophthalmology_Survey_Jun_4_25,Physicians Boardcertified,healthcare,20.0,United States,1.0,170.0,1,20.0,29.589285714285715,1.0,0.0,-9.589285714285715
24,SoW_for_Atheneum_Physician_Quant_Study_May_2_25,Physician Quant Studyindividuals Who Meet The Following Criteria Have More Than Years,healthcare,20.0,United States,1.0,170.0,1,20.0,29.589285714285715,1.0,0.0,-9.589285714285715
25,SoW_for_Atheneum_Pluvicto_Survey_Wave_2_May_22_25 (1),Nuclear Support Staff,other,30.0,United States,2.0,170.0,2,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
26,SoW_for_Atheneum_Pluvicto_Survey_Wave_2_May_22_25,Nuclear Support Staff,other,30.0,United States,2.0,170.0,2,30.0,29.589285714285715,1.0,0.0,0.4107142857142847
27,SoW_for_Atheneum_Preventive_Migraine_Study_Apr_25_25,Neurologists Prophylactically Treating Paediatric Patients Aged Suffering,healthcare,35.0,"Australia, Brazil, Canada, Israel, Japan, China",1.0,1.0,1,35.0,35.0,1.0,0.0,0.0
28,SoW_for_Atheneum_Pricing_Strategy_of_Cancer_Treatment_Study_Feb_20_25,Medical Clinical Oncologists,healthcare,30.0,Malaysia,1.0,1.0,1,30.0,30.0,1.0,0.0,0.0
29,SoW_for_Atheneum_Public_Channel_Sizing_Study_Jan_13_25,Distributors,b2b,20.0,Philippines,2.0,1.0,1,20.0,20.0,2.0,0.0,0.0
30,SoW_for_Atheneum_Pulmonologists_and_Infectious_Disease_Specialists_Stu_vpkX2CE,Pulmonologists And Infectious Disease Specialists,other,15.0,United States,1.0,170.0,1,15.0,29.589285714285715,1.0,0.0,-14.589285714285715
31,SoW_for_Atheneum_Sacral_Neuromodulation_Devices_SNMD_and_Botox_Therapy_14dF8m7,Medical Device Or Pharma Company Providing Snmd Implants Or Botox Therapyhealthcare Organisations,healthcare,10.0,"Norway, Ireland, Switzerland, United States, Australia, Israel, Sweden, Netherlands, Canada, Belgium, Germany, United Arab Emirates, United Kingdom, France, Japan, Italy, Saudi Arabia, Spain",1.0,1.0,1,10.0,10.0,1.0,0.0,0.0
32,SoW_for_Atheneum_STD_and_Long_Term_Care_Survey_Mar_27_25,Health Care Professionals,other,10.0,United States,1.0,170.0,1,10.0,29.589285714285715,1.0,0.0,-19.589285714285715
